1e-14	5.05e-13	1e-12	0	0	0	
-0.1	2.73867e-09	5.96622e-11	1.31058e-09	1.75146e-10	2.06796e-09	
-0.0947368	3.70484e-09	9.08937e-11	6.32739e-09	1.35043e-10	2.16059e-09	
-0.0894737	5.45387e-11	5.89089e-11	6.1154e-10	1.03684e-10	9.2367e-10	
-0.0842105	5.5625e-11	5.91487e-11	6.54509e-11	8.17614e-11	1.09025e-09	
-0.0789474	5.59515e-11	5.92928e-11	6.28461e-11	7.19206e-11	1.56434e-10	
-0.0736842	8.32008e-09	5.77948e-11	6.00203e-11	7.48117e-11	7.25031e-11	
-0.0684211	5.76822e-11	5.75038e-11	5.95563e-11	7.76221e-11	6.43359e-11	
-0.0631579	5.84761e-11	5.72808e-11	5.76097e-11	5.76232e-11	5.69127e-11	
-0.0578947	5.92242e-11	5.74263e-11	6.87083e-10	5.50873e-11	1.46028e-09	
-0.0526316	1.18795e-10	2.09524e-10	1.01374e-09	2.0699e-10	5.13418e-11	
-0.0473684	6.03978e-11	1.40959e-10	5.28344e-11	5.04662e-11	8.35441e-11	
-0.0421053	9.68478e-11	5.67061e-11	8.45368e-11	4.95943e-11	6.92636e-11	
-0.0368421	6.26314e-11	5.71397e-11	7.3938e-11	6.44555e-11	4.42004e-11	
-0.0315789	8.41463e-11	5.57987e-11	6.54571e-11	5.69007e-11	4.31004e-11	
-0.0263158	6.47243e-11	7.1499e-11	5.02574e-11	4.54688e-11	4.17025e-11	
-0.0210526	8.05936e-11	5.57757e-11	5.57696e-11	4.36754e-11	4.6672e-11	
-0.0157895	7.67828e-11	5.59166e-11	4.83036e-11	4.68898e-11	4.25511e-11	
-0.0105263	6.83203e-11	5.48847e-11	5.39151e-11	4.21062e-11	4.40612e-11	
-0.00526316	7.01421e-11	5.44091e-11	4.97004e-11	4.39784e-11	3.79306e-11	
-1.38778e-17	7.05567e-11	5.4908e-11	4.68374e-11	4.0417e-11	3.70983e-11	
